bank_name,features,card_name
Сбербанк,[],"Сбербанк
Mir Classic
СБЕРКАРТА
2.7
966 отзывов
Льг"
Банк Уралсиб,[],"Банк Уралсиб
Mir Classic
120 ДНЕЙ НА МАКСИМУМ
3.2
"
Сбербанк,[],"Сбербанк
Mir Classic
СБЕРКАРТА МОЛОДЁЖНАЯ
2.7
966 "
Альфа-Банк,[],"Альфа-Банк
Mir Classic
КРЕДИТНАЯ КАРТА АЛЬФА-БАНКА"
Кредит Европа Банк (Россия),[],"Кредит Европа Банк (Россия)
Mir Classic
URBAN CARD"
Т-Банк,[],"Т-Банк
Mir Classic
ПЛАТИНУМ
3.7
5 655 отзывов
Льго"
МТС Банк,[],"МТС Банк
Mir Classic
МТС ZERO
3.3
875 отзывов
Льго"
Азиатско-Тихоокеанский Банк,[],"Азиатско-Тихоокеанский Банк
Visa Gold
УНИВЕРСАЛЬНА"
Отправить заявку,[],"ПСБ
Mir Classic
КРЕДИТНАЯ КАРТА 180 ДНЕЙ БЕЗ %
3.1"
Московский Кредитный Банк,[],"Московский Кредитный Банк
Mir Classic
МОЖНО БОЛЬШЕ"
Сбербанк,[],"Сбербанк
СБЕРКАРТА
2.7
966 отзывов
Льготный период"
Банк Уралсиб,[],"Банк Уралсиб
120 ДНЕЙ НА МАКСИМУМ
3.2
144 отзыва
Л"
Сбербанк,[],"Сбербанк
СБЕРКАРТА МОЛОДЁЖНАЯ
2.7
966 отзывов
Льго"
Альфа-Банк,[],"Альфа-Банк
КРЕДИТНАЯ КАРТА АЛЬФА-БАНКА
4.8
10 968 "
